text,price
"SAPLOS NVIDIA GT 1030 Tarjeta Gráfica, 2GB, GDDR5, 64 bits, DVI-D/HDMI, GPU de Computadora, Tarjeta de Video PC, Graphics Cards, Baja Potencia, PCI Express x4",159.99
"SAPLOS Radeon RX 550 Tarjeta Gráfica, 4GB, GDDR5, 128 bits, DisplayPort/DVI-D/HDMI, Tarjeta de Video para Juegos de PC, Graphics Cards, 4k@60 Hz, GPU Computadora",219.99
Tarjeta gráfica NVIDIA GeForce RTX 3080ti Founders Edition,2.079.99
SovelyBoFan Tarjeta GráFica Profesional GTX1050TI 1GB DDR5 Verde 128Bit DVI VGA GPU Tarjeta de Video de Juego para Juegos de PC,130.85
"MSI - N730K-2GD3H/LPV1 - Tarjeta Gráfica Profesional NVIDIA, PCI-E 2.0, 64-bits, DL-DVI-D, HDMI, D-Sub",78.59
"ASUS CERBERUS-GTX1050TI-A4G - Tarjeta gráfica (GeForce GTX 1050 Ti, 4 GB, GDDR5, 128 bit, 7008 MHz, PCI Express 3.0, Velocidad de Reloj del procesador 1442 MHz)",316.85
"MAXSUN AMD Radeon RX 550 4 GB GDDR5 Tarjeta gráfica ITX para videojuegos en PC GPU 128 Bits DirectX 12 PCI Express X16 3.0 DVI-D Dual Link, HDMI, DisplayPort",239.99
,239.99
"MAXSUN AMD Radeon RX 550 4 GB GDDR5 Tarjeta gráfica ITX para videojuegos en PC GPU 128 Bits DirectX 12 PCI Express X16 3.0 DVI-D Dual Link, HDMI, DisplayPort",239.99
"ASUS CERBERUS-GTX1050TI-A4G - Tarjeta gráfica (GeForce GTX 1050 Ti, 4 GB, GDDR5, 128 bit, 7008 MHz, PCI Express 3.0, Velocidad de Reloj del procesador 1442 MHz)",316.85
ASUS Dual GeForce RTX 2060 OC Edition EVO - Tarjeta gráfica de 6 GB GDDR6 con la Arquitectura gráfica NVIDIA Turing,529.13
Asrock RX6600 CLD 8G (90-GA2RZZ-00UANF),551.00
Zotac Gaming GeForce GTX 1650 OC GDDR6 NVIDIA 4 GB,333.00
Zotac ZT-A30810F-10P Tarjeta gráfica NVIDIA GeForce RTX 3080 Ti 12 GB GDDR6X,1.830.00
"MAXSUN GEFORCE GT 1030 - Tarjeta gráfica GDDR5 de 2 GB GPU mini ITX, HDMI, DVI-D, sistema de refrigeración de ventilador único",159.99
"EVGA GeForce RTX 2060 SC, OVERCLOCKED, 2.75 Slot Extreme Cool, 70C Gaming, 06G-P4-2062-KR, 6GB GDDR6",559.41
